model,n,ps,pd,h,b,w_self,T,steps_run,seed,init_mode,x0,noise,ndi_0,ndi_T,delta_ndi,island_sep_T
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,97,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,98,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,99,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,100,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,101,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,102,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,103,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,104,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,105,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,106,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,107,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,108,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,109,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,110,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,111,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,112,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,113,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,114,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,115,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,116,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,117,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,118,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,119,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,120,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,121,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,122,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,123,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,124,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,125,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,126,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,127,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,128,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,129,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,130,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,131,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,132,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,133,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,134,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,135,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,136,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,137,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,138,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,139,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,140,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,141,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,142,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,143,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,144,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,145,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,146,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,147,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,148,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
biased,100,0.1,0.1,1.0,1.2,0.0,50,50,149,theorem,0.7,0.05,159.9999999999973,1000.0,840.0000000000027,1.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,150,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,151,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,152,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,153,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,154,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,155,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,156,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,157,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,158,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,159,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,160,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,161,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,162,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,163,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,164,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,165,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,166,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,167,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,168,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,169,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,170,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,171,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,172,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,173,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,174,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,175,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,176,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,177,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,178,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.2,0.1,2.0,0.0,0.0,50,50,179,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
biased,100,0.2,0.1,2.0,0.5,0.0,50,50,180,theorem,0.7,0.05,159.9999999999973,1.9059690535855519e-06,-159.99999809402826,4.3657405484176515e-05
biased,100,0.2,0.1,2.0,0.5,0.0,50,50,181,theorem,0.7,0.05,159.9999999999973,1.9059690535855519e-06,-159.99999809402826,4.3657405484176515e-05
